City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Amahai,ID,2020-11-27 17:28:44,-3.33,128.92,84.0,88,93,4.23
1,Esso,RU,2020-11-27 17:28:44,55.93,158.7,5.86,88,96,3.0
2,Jamestown,US,2020-11-27 17:28:44,42.1,-79.24,46.0,75,90,11.41
3,Bredasdorp,ZA,2020-11-27 17:28:45,-34.53,20.04,64.4,68,96,20.8
4,Busselton,AU,2020-11-27 17:28:45,-33.65,115.33,46.99,94,0,9.17
5,Arraial Do Cabo,BR,2020-11-27 17:28:45,-22.97,-42.03,86.0,65,0,21.92
6,Albany,US,2020-11-27 17:27:08,42.6,-73.97,51.01,69,68,6.29
7,Olafsvik,IS,2020-11-27 17:28:45,64.89,-23.71,34.41,83,94,37.63
8,Cape Town,ZA,2020-11-27 17:24:43,-33.93,18.42,73.4,43,0,13.87
9,Luderitz,NA,2020-11-27 17:28:45,-26.65,15.16,64.4,77,0,23.04
10,Kilis,TR,2020-11-27 17:24:32,36.72,37.12,41.0,75,0,4.7
11,Broome,US,2020-11-27 17:28:45,42.25,-75.83,48.0,81,90,3.36
12,Ushuaia,AR,2020-11-27 17:28:46,-54.8,-68.3,51.8,32,75,18.34
13,Avarua,CK,2020-11-27 17:28:46,-21.21,-159.78,75.2,83,73,8.05
14,Poltavka,RU,2020-11-27 17:28:46,54.37,71.76,8.06,95,100,7.65
15,Klaksvik,FO,2020-11-27 17:28:46,62.23,-6.59,42.8,87,73,18.34
16,Bethel,US,2020-11-27 17:25:08,41.37,-73.41,57.0,71,75,4.7
17,Aklavik,CA,2020-11-27 17:28:46,68.22,-135.01,5.0,84,90,4.7
18,Atuona,PF,2020-11-27 17:28:46,-9.8,-139.03,78.24,76,8,20.76
19,Banda Aceh,ID,2020-11-27 17:28:46,5.56,95.32,77.31,86,100,5.08
20,Alofi,NU,2020-11-27 17:28:46,-19.06,-169.92,77.0,100,100,5.82
21,Rikitea,PF,2020-11-27 17:28:47,-23.12,-134.97,75.45,86,100,23.38
22,Rio Gallegos,AR,2020-11-27 17:25:55,-51.62,-69.22,59.0,14,20,44.96
23,Hilo,US,2020-11-27 17:25:48,19.73,-155.09,69.8,77,75,6.93
24,Mataura,NZ,2020-11-27 17:28:47,-46.19,168.86,39.99,89,68,3.0
25,Yanam,IN,2020-11-27 17:28:47,16.73,82.22,71.6,88,90,13.87
26,Palmer,US,2020-11-27 17:28:47,42.16,-72.33,54.0,100,90,4.32
27,Mar Del Plata,AR,2020-11-27 17:28:40,-38.0,-57.56,78.8,31,0,18.34
28,Sibolga,ID,2020-11-27 17:28:48,1.74,98.78,77.22,80,97,4.12
29,Morondava,MG,2020-11-27 17:28:48,-20.28,44.28,80.67,70,2,14.97
30,Tiksi,RU,2020-11-27 17:28:48,71.69,128.87,-1.7,91,77,7.81
31,Bintulu,MY,2020-11-27 17:28:48,3.17,113.03,75.2,100,40,8.05
32,Butaritari,KI,2020-11-27 17:28:48,3.07,172.79,80.96,74,53,16.75
33,Zalegoshch,RU,2020-11-27 17:28:48,52.9,36.89,33.98,92,100,11.45
34,Daru,PG,2020-11-27 17:28:48,-9.08,143.21,78.04,81,56,6.22
35,Tevaitoa,PF,2020-11-27 17:28:48,-16.78,-151.5,80.46,80,71,8.66
36,Yatou,CN,2020-11-27 17:28:48,37.15,122.38,33.96,85,2,17.09
37,Pakala,IN,2020-11-27 17:28:49,13.47,79.12,67.68,92,98,3.85
38,Vila Velha,BR,2020-11-27 17:28:49,-20.33,-40.29,82.4,69,20,14.99
39,Ponta Do Sol,PT,2020-11-27 17:28:49,32.67,-17.1,66.2,68,40,9.17
40,Kazerun,IR,2020-11-27 17:28:49,29.62,51.65,63.21,60,100,3.29
41,Port Said,EG,2020-11-27 17:28:49,31.26,32.28,66.2,72,40,5.82
42,Kalmunai,LK,2020-11-27 17:28:49,7.42,81.82,79.45,83,71,3.13
43,Punta Arenas,CL,2020-11-27 17:28:49,-53.15,-70.92,42.8,81,75,25.28
44,Cartaya,ES,2020-11-27 17:28:49,37.28,-7.15,57.0,68,60,1.99
45,Qaanaaq,GL,2020-11-27 17:28:50,77.48,-69.36,-3.26,87,100,4.36
46,Margate,GB,2020-11-27 17:26:41,51.38,1.39,51.01,78,100,1.99
47,Sukhobuzimskoye,RU,2020-11-27 17:28:50,56.5,93.27,-4.0,83,0,1.28
48,Bluff,NZ,2020-11-27 17:28:50,-46.6,168.33,39.99,89,46,3.0
49,Puerto Ayora,EC,2020-11-27 17:28:50,-0.74,-90.35,78.8,69,20,9.17
50,Yamada,JP,2020-11-27 17:28:50,39.47,141.95,41.79,77,100,3.49
51,Paamiut,GL,2020-11-27 17:28:50,61.99,-49.67,28.98,95,100,17.22
52,New Norfolk,AU,2020-11-27 17:28:51,-42.78,147.06,59.0,58,90,6.93
53,Ahipara,NZ,2020-11-27 17:28:51,-35.17,173.17,56.41,73,48,13.53
54,Cabo San Lucas,MX,2020-11-27 17:25:06,22.89,-109.91,82.99,42,20,3.36
55,Nikolskoye,RU,2020-11-27 17:28:51,59.7,30.79,37.4,89,90,11.18
56,Carballo,ES,2020-11-27 17:28:52,43.21,-8.69,55.0,91,0,0.38
57,Biala Podlaska,PL,2020-11-27 17:28:52,52.03,23.12,40.12,81,100,11.23
58,Aljezur,PT,2020-11-27 17:28:52,37.32,-8.8,56.3,72,70,6.08
59,Gushikawa,JP,2020-11-27 17:28:52,26.35,127.87,69.8,93,1,19.53
60,Mandalgovi,MN,2020-11-27 17:28:52,45.76,106.27,4.62,89,100,3.06
61,Iqaluit,CA,2020-11-27 17:28:52,63.75,-68.51,21.2,85,90,18.34
62,Lavrentiya,RU,2020-11-27 17:28:53,65.58,-171.0,27.86,96,76,9.35
63,Chokurdakh,RU,2020-11-27 17:28:53,70.63,147.92,-7.46,92,100,5.86
64,Port-Gentil,GA,2020-11-27 17:28:53,-0.72,8.78,78.8,94,75,11.41
65,Bengkulu,ID,2020-11-27 17:28:53,-3.8,102.27,75.69,86,99,4.81
66,Clyde River,CA,2020-11-27 17:28:53,70.47,-68.59,-11.2,69,20,5.82
67,Mandi,IN,2020-11-27 17:25:23,31.72,76.92,49.3,48,0,7.16
68,Kota Kinabalu,MY,2020-11-27 17:28:53,5.97,116.07,78.8,88,20,3.36
69,Dikson,RU,2020-11-27 17:28:54,73.51,80.55,18.28,97,100,24.09
70,Chuy,UY,2020-11-27 17:28:54,-33.7,-53.46,74.64,52,0,11.9
71,Pestravka,RU,2020-11-27 17:28:54,52.41,49.96,21.61,97,100,8.28
72,Vaini,TO,2020-11-27 17:28:54,-21.2,-175.2,78.8,94,75,17.22
73,Mackenzie,CA,2020-11-27 17:28:54,55.3,-123.17,26.6,86,90,2.24
74,Tasiilaq,GL,2020-11-27 17:28:55,65.61,-37.64,15.8,66,20,38.03
75,Three Hills,CA,2020-11-27 17:28:55,51.7,-113.27,32.0,94,13,11.41
76,Krasnokamensk,RU,2020-11-27 17:28:55,50.1,118.04,-3.01,86,0,2.77
77,Adrar,MR,2020-11-27 17:28:55,20.5,-10.07,72.68,29,70,9.31
78,Longyearbyen,SJ,2020-11-27 17:24:30,78.22,15.64,30.2,92,75,14.99
79,Tura,IN,2020-11-27 17:28:55,25.52,90.22,66.34,54,99,3.4
80,Hofn,IS,2020-11-27 17:28:56,64.25,-15.21,39.2,68,75,25.28
81,Linguere,SN,2020-11-27 17:28:56,15.4,-15.12,90.57,13,0,12.77
82,Bagdarin,RU,2020-11-27 17:28:56,54.43,113.6,2.84,86,90,3.36
83,Georgetown,MY,2020-11-27 17:28:53,5.41,100.34,78.8,88,20,1.12
84,Griffith,US,2020-11-27 17:28:56,41.53,-87.42,43.0,93,90,8.05
85,Billings,US,2020-11-27 17:27:57,45.78,-108.5,41.0,29,75,24.16
86,Yellowknife,CA,2020-11-27 17:28:56,62.46,-114.35,9.0,84,90,13.87
87,Lima,PE,2020-11-27 17:26:07,-12.04,-77.03,73.4,64,75,6.93
88,Avera,US,2020-11-27 17:28:56,33.19,-82.53,71.6,33,1,8.05
89,Kirkland Lake,CA,2020-11-27 17:23:58,48.14,-80.04,33.8,86,62,4.88
90,Torbay,CA,2020-11-27 17:28:57,47.67,-52.73,53.6,93,90,17.22
91,Camrose,CA,2020-11-27 17:28:57,53.02,-112.84,26.01,76,32,5.01
92,Batemans Bay,AU,2020-11-27 17:28:57,-35.72,150.18,69.22,70,56,4.16
93,Norman Wells,CA,2020-11-27 17:28:57,65.28,-126.83,3.2,77,75,9.17
94,Cidreira,BR,2020-11-27 17:28:57,-30.18,-50.21,71.62,85,87,11.81
95,Pitimbu,BR,2020-11-27 17:28:57,-7.47,-34.81,87.8,55,40,18.34
96,Bonnyville,CA,2020-11-27 17:28:57,54.27,-110.73,35.6,64,75,11.41
97,Hermanus,ZA,2020-11-27 17:28:57,-34.42,19.23,66.0,67,100,8.99
98,Muros,ES,2020-11-27 17:28:57,42.78,-9.06,57.0,74,0,3.0
99,Port Lincoln,AU,2020-11-27 17:28:58,-34.73,135.87,68.11,60,79,5.93
100,Zhigansk,RU,2020-11-27 17:28:58,66.77,123.37,-1.84,91,97,17.05
101,Faya,SA,2020-11-27 17:28:58,18.39,42.45,60.8,82,0,6.93
102,Sabzevar,IR,2020-11-27 17:28:58,36.21,57.68,48.0,51,33,13.04
103,Cradock,ZA,2020-11-27 17:28:58,-32.16,25.62,67.06,52,0,14.97
104,Florianopolis,BR,2020-11-27 17:28:58,-27.61,-48.5,73.4,88,75,11.41
105,Houma,US,2020-11-27 17:28:58,29.6,-90.72,81.0,78,40,8.05
106,Orotukan,RU,2020-11-27 17:28:58,62.27,151.7,-2.74,90,100,4.16
107,Portland,US,2020-11-27 17:28:55,45.52,-122.68,39.99,100,90,3.36
108,Smithers,CA,2020-11-27 17:28:59,54.78,-127.17,23.0,100,90,3.36
109,Shizunai,JP,2020-11-27 17:28:59,42.33,142.37,35.24,80,100,6.93
110,Hithadhoo,MV,2020-11-27 17:28:59,-0.6,73.08,81.88,75,96,12.33
111,Falam,MM,2020-11-27 17:28:59,22.92,93.68,50.38,100,32,1.23
112,Upernavik,GL,2020-11-27 17:28:59,72.79,-56.15,1.31,90,0,6.76
113,Esperance,AU,2020-11-27 17:28:59,-33.87,121.9,53.6,93,75,4.7
114,Port Blair,IN,2020-11-27 17:28:59,11.67,92.75,81.41,80,98,10.54
115,Airai,TL,2020-11-27 17:28:59,-8.93,125.41,62.19,100,60,1.36
116,Savonlinna,FI,2020-11-27 17:28:59,61.87,28.88,32.0,94,90,10.29
117,Cedral,MX,2020-11-27 17:29:00,23.8,-100.73,74.73,36,65,3.18
118,Ribeira Grande,PT,2020-11-27 17:29:00,38.52,-28.7,62.6,63,40,9.17
119,Pinega,RU,2020-11-27 17:29:00,64.7,43.39,19.11,96,0,5.91
120,Pevek,RU,2020-11-27 17:29:00,69.7,170.31,14.74,94,1,10.6
121,Provideniya,RU,2020-11-27 17:29:00,64.38,-173.3,23.41,95,22,13.53
122,Katsuura,JP,2020-11-27 17:29:00,35.13,140.3,63.0,72,40,17.22
123,Sobolevo,RU,2020-11-27 17:29:00,54.43,31.9,36.57,97,100,8.01
124,Meulaboh,ID,2020-11-27 17:29:01,4.14,96.13,76.5,85,98,4.34
125,Blessington,IE,2020-11-27 17:29:01,53.17,-6.53,42.8,75,75,2.24
126,Umm Kaddadah,SD,2020-11-27 17:29:01,13.6,26.69,77.45,19,5,11.99
127,Souillac,MU,2020-11-27 17:29:01,-20.52,57.52,75.2,78,40,8.05
128,Zhuzhou,CN,2020-11-27 17:29:01,27.83,113.15,46.4,87,90,8.95
129,Port Elizabeth,ZA,2020-11-27 17:29:01,-33.92,25.57,64.4,68,75,19.46
130,Le Port,RE,2020-11-27 17:29:01,-20.94,55.29,73.4,78,75,14.99
131,Wattegama,LK,2020-11-27 17:29:01,6.8,81.48,74.52,91,71,1.81
132,Cherskiy,RU,2020-11-27 17:29:01,68.75,161.3,11.48,92,8,12.91
133,Damietta,EG,2020-11-27 17:27:06,31.42,31.81,66.2,72,40,5.82
134,Salinopolis,BR,2020-11-27 17:29:02,-0.61,-47.36,83.35,76,76,9.51
135,Odweyne,SO,2020-11-27 17:29:02,9.41,45.06,75.07,65,71,10.36
136,Lompoc,US,2020-11-27 17:29:02,34.64,-120.46,51.8,39,1,5.82
137,Geraldton,AU,2020-11-27 17:29:02,-28.77,114.6,64.4,68,0,12.75
138,Sola,VU,2020-11-27 17:29:02,-13.88,167.55,79.3,81,9,3.94
139,Okhotsk,RU,2020-11-27 17:29:02,59.38,143.3,0.79,87,73,19.62
140,Te Anau,NZ,2020-11-27 17:29:03,-45.42,167.72,35.71,86,47,1.01
141,Kapaa,US,2020-11-27 17:29:03,22.08,-159.32,75.2,78,40,16.11
142,Yar-Sale,RU,2020-11-27 17:29:03,66.83,70.83,4.84,94,36,9.17
143,Lebu,CL,2020-11-27 17:29:03,-37.62,-73.65,59.52,64,27,8.81
144,Tuktoyaktuk,CA,2020-11-27 17:29:03,69.45,-133.04,1.4,84,90,5.82
145,Holme,DK,2020-11-27 17:29:03,56.11,10.17,37.0,83,0,1.54
146,Fort Nelson,CA,2020-11-27 17:29:03,58.81,-122.7,14.0,92,20,6.93
147,Harper,LR,2020-11-27 17:29:04,4.38,-7.72,80.62,80,71,8.23
148,Kvam,NO,2020-11-27 17:29:04,61.67,9.69,24.17,84,97,1.81
149,Goiatuba,BR,2020-11-27 17:29:04,-18.01,-49.35,86.83,40,0,7.9
150,Jieshou,CN,2020-11-27 17:29:04,33.26,115.36,41.22,74,82,8.01
151,Severo-Kurilsk,RU,2020-11-27 17:29:04,50.68,156.12,26.78,91,91,23.64
152,Saskylakh,RU,2020-11-27 17:29:04,71.92,114.08,3.07,92,63,10.0
153,Bambanglipuro,ID,2020-11-27 17:26:12,-7.95,110.28,78.76,77,100,4.27
154,Tautira,PF,2020-11-27 17:29:05,-17.73,-149.15,82.4,74,75,1.12
155,Namibe,AO,2020-11-27 17:29:05,-15.2,12.15,73.49,74,49,11.03
156,Lagoa,PT,2020-11-27 17:29:05,39.05,-27.98,59.45,69,96,26.75
157,Barrow,US,2020-11-27 17:29:05,71.29,-156.79,6.8,77,90,10.29
158,Faanui,PF,2020-11-27 17:29:05,-16.48,-151.75,79.65,78,44,6.06
159,Litovko,RU,2020-11-27 17:29:05,49.24,135.17,12.04,85,0,3.15
160,Altay,CN,2020-11-27 17:29:05,47.87,88.12,17.06,78,30,5.99
161,Havre-Saint-Pierre,CA,2020-11-27 17:29:05,50.23,-63.6,35.6,93,90,9.17
162,Egvekinot,RU,2020-11-27 17:29:05,66.32,-179.17,13.5,91,0,12.57
163,Carnarvon,AU,2020-11-27 17:29:06,-24.87,113.63,68.0,68,0,25.28
164,San Andres,CO,2020-11-27 17:24:44,12.58,-81.7,87.8,70,75,14.99
165,Thompson,CA,2020-11-27 17:25:58,55.74,-97.86,10.4,92,90,5.82
166,Saint-Pierre,RE,2020-11-27 17:29:06,-21.34,55.48,77.0,73,0,4.7
167,Komsomolskiy,UZ,2020-11-27 17:29:06,40.43,71.72,33.8,74,100,2.24
168,Castro,BR,2020-11-27 17:29:06,-24.79,-50.01,76.01,71,89,4.38
169,Bastia,FR,2020-11-27 17:29:06,42.67,9.33,57.2,93,75,3.36
170,Nanortalik,GL,2020-11-27 17:29:07,60.14,-45.24,27.64,92,97,5.93
171,Ivybridge,GB,2020-11-27 17:29:07,50.39,-3.92,46.0,92,86,5.99
172,Vao,NC,2020-11-27 17:29:07,-22.67,167.48,73.0,73,1,13.42
173,Kupang,ID,2020-11-27 17:27:34,-10.17,123.58,81.46,78,61,3.24
174,Jizan,SA,2020-11-27 17:29:07,17.33,42.67,84.2,70,40,3.36
175,Guerrero Negro,MX,2020-11-27 17:24:51,27.98,-114.06,64.06,57,74,2.19
176,College,US,2020-11-27 17:29:07,64.86,-147.8,15.01,85,75,5.82
177,Hogyesz,HU,2020-11-27 17:29:07,46.5,18.42,33.8,100,90,3.36
178,West Helena,US,2020-11-27 17:29:07,34.55,-90.64,57.99,100,100,5.82
179,Lorengau,PG,2020-11-27 17:29:08,-2.02,147.27,81.21,77,100,1.99
180,Estelle,US,2020-11-27 17:29:08,29.85,-90.11,79.0,94,90,6.93
181,Rio Grande,BR,2020-11-27 17:24:17,-32.03,-52.1,78.8,61,90,16.11
182,Saint-Philippe,RE,2020-11-27 17:29:08,-21.36,55.77,77.0,73,0,4.7
183,Galesong,ID,2020-11-27 17:29:08,-5.32,119.37,75.2,94,20,6.93
184,Tual,ID,2020-11-27 17:29:08,-5.67,132.75,84.83,68,89,4.45
185,Roald,NO,2020-11-27 17:29:08,62.58,6.13,39.99,69,0,9.17
186,Leningradskiy,RU,2020-11-27 17:29:08,69.38,178.42,24.01,97,100,12.37
187,Byron Bay,AU,2020-11-27 17:26:47,-28.65,153.62,60.01,93,0,6.76
188,Bud,US,2020-11-27 17:29:09,39.45,-86.18,51.01,73,47,5.97
189,Douentza,ML,2020-11-27 17:29:09,15.0,-2.95,86.97,13,42,5.75
190,Karratha,AU,2020-11-27 17:25:15,-20.74,116.85,78.55,68,0,8.1
191,La Paz,BO,2020-11-27 17:25:38,-16.5,-68.15,64.4,27,40,13.87
192,Baykit,RU,2020-11-27 17:29:09,61.67,96.37,7.54,90,98,2.8
193,Andenes,NO,2020-11-27 17:29:09,69.31,16.12,41.0,66,40,17.22
194,Kaitangata,NZ,2020-11-27 17:29:09,-46.28,169.85,39.0,83,30,1.99
195,Hobyo,SO,2020-11-27 17:29:09,5.35,48.53,79.95,74,17,17.18
196,Mahebourg,MU,2020-11-27 17:29:09,-20.41,57.7,75.2,78,40,8.05
197,Fortuna,US,2020-11-27 17:25:49,40.6,-124.16,57.99,93,1,5.82
198,Port Alfred,ZA,2020-11-27 17:29:10,-33.59,26.89,63.86,72,76,22.93
199,Kudat,MY,2020-11-27 17:29:10,6.88,116.85,77.0,94,20,2.24
200,Pisco,PE,2020-11-27 17:29:10,-13.7,-76.22,72.0,73,0,9.17
201,Cerkezkoy,TR,2020-11-27 17:29:10,41.28,28.0,42.8,93,0,6.93
202,Port Hardy,CA,2020-11-27 17:29:10,50.7,-127.42,48.2,100,90,10.29
203,Kavaratti,IN,2020-11-27 17:29:10,10.57,72.64,81.97,78,0,11.88
204,Bambous Virieux,MU,2020-11-27 17:29:10,-20.34,57.76,75.2,78,40,8.05
205,Flinders,AU,2020-11-27 17:29:10,-34.58,150.86,66.0,92,44,5.7
206,Aquiraz,BR,2020-11-27 17:29:11,-3.9,-38.39,86.0,62,20,20.8
207,Chiantla,GT,2020-11-27 17:29:11,15.35,-91.46,69.8,68,75,3.98
208,Beausejour,CA,2020-11-27 17:29:11,50.06,-96.52,23.0,100,64,5.99
209,Isangel,VU,2020-11-27 17:29:11,-19.55,169.27,73.18,80,14,10.31
210,Svetlyy,RU,2020-11-27 17:29:11,54.67,20.13,42.8,75,75,13.42
211,Nouadhibou,MR,2020-11-27 17:29:12,20.93,-17.03,71.6,64,0,16.11
212,Seminole,US,2020-11-27 17:29:12,28.71,-81.21,82.99,51,1,3.36
213,Mandurah,AU,2020-11-27 17:25:11,-32.55,115.7,57.0,68,0,1.99
214,Kamenka,RU,2020-11-27 17:29:12,51.32,42.77,34.0,92,99,12.95
215,Koutsouras,GR,2020-11-27 17:29:12,35.03,25.95,60.01,62,4,9.19
216,Mwaya,TZ,2020-11-27 17:29:12,-9.55,33.95,81.99,62,61,2.62
217,Bodden Town,KY,2020-11-27 17:29:12,19.28,-81.25,84.2,70,40,12.75
218,Vestmannaeyjar,IS,2020-11-27 17:29:13,63.44,-20.27,37.4,64,40,25.28
219,Labuhan,ID,2020-11-27 17:29:13,-6.88,112.21,79.36,81,100,2.84
220,Northam,GB,2020-11-27 17:29:13,51.03,-4.22,44.01,88,5,5.99
221,Kahului,US,2020-11-27 17:24:56,20.89,-156.47,71.6,78,40,6.93
222,Orlik,RU,2020-11-27 17:29:14,52.52,99.83,-7.87,83,0,1.21
223,Abalak,RU,2020-11-27 17:29:14,58.13,68.59,7.32,96,92,5.57
224,Bac Lieu,VN,2020-11-27 17:29:14,9.29,105.72,78.78,80,77,11.77
225,Ilulissat,GL,2020-11-27 17:29:14,69.22,-51.1,15.8,66,40,12.75
226,Serra,BR,2020-11-27 17:29:14,-20.13,-40.31,82.4,69,20,14.99
227,Kirkwall,GB,2020-11-27 17:26:11,58.98,-2.96,42.8,93,75,2.24
228,Guilin,CN,2020-11-27 17:29:15,25.28,110.29,50.0,76,90,6.71
229,Champerico,GT,2020-11-27 17:29:15,14.3,-91.92,87.8,62,75,6.93
230,Abeche,TD,2020-11-27 17:29:15,13.83,20.83,81.59,18,57,9.13
231,Fairbanks,US,2020-11-27 17:29:10,64.84,-147.72,15.01,85,75,5.82
232,Maragogi,BR,2020-11-27 17:27:35,-9.01,-35.22,81.57,67,59,13.06
233,Hasaki,JP,2020-11-27 17:29:15,35.73,140.83,48.2,100,40,2.24
234,Codrington,AU,2020-11-27 17:29:15,-38.27,141.97,55.36,93,100,4.85
235,Turukhansk,RU,2020-11-27 17:29:16,65.82,87.98,5.5,95,100,8.43
236,Silver City,US,2020-11-27 17:25:57,32.77,-108.28,48.2,31,1,13.91
237,Anadyr,RU,2020-11-27 17:29:16,64.75,177.48,26.6,63,0,4.47
238,Buala,SB,2020-11-27 17:29:16,-8.14,159.59,79.7,77,16,2.26
239,Vostok,RU,2020-11-27 17:29:16,46.49,135.88,-1.01,95,90,4.56
240,Sao Felix Do Xingu,BR,2020-11-27 17:29:16,-6.64,-51.99,90.25,47,54,5.46
241,Kroya,ID,2020-11-27 17:29:17,-7.63,109.25,63.0,79,95,3.22
242,Noshiro,JP,2020-11-27 17:29:17,40.2,140.02,37.58,81,100,7.11
243,Richmond,US,2020-11-27 17:24:44,37.55,-77.46,66.0,52,75,4.7
244,Khrebtovaya,RU,2020-11-27 17:29:17,56.7,104.25,0.23,95,100,3.44
245,Havoysund,NO,2020-11-27 17:29:17,71.0,24.66,39.2,78,40,18.34
246,Lyndon,US,2020-11-27 17:29:17,38.26,-85.6,55.4,58,1,4.18
247,Kungurtug,RU,2020-11-27 17:29:18,50.6,97.52,2.28,86,90,1.45
248,Zhuhai,CN,2020-11-27 17:29:18,22.28,113.57,68.0,72,20,23.04
249,Alekseyevsk,RU,2020-11-27 17:29:18,57.84,108.35,5.68,93,100,4.88
250,Puerto Madero,MX,2020-11-27 17:29:18,14.72,-92.42,81.66,70,43,3.22
251,Nishihara,JP,2020-11-27 17:29:18,26.18,127.76,69.8,83,20,14.99
252,Kavieng,PG,2020-11-27 17:29:19,-2.57,150.8,82.89,76,76,10.07
253,Grants Pass,US,2020-11-27 17:29:19,42.44,-123.33,37.4,93,90,2.13
254,Victoria,HK,2020-11-27 17:28:25,22.29,114.16,69.01,73,3,11.21
255,Moron,AR,2020-11-27 17:29:19,-34.65,-58.62,86.0,39,0,12.75
256,Hambantota,LK,2020-11-27 17:29:19,6.12,81.12,77.97,86,29,6.08
257,Sitka,US,2020-11-27 17:29:19,57.05,-135.33,32.0,87,90,4.36
258,Nortelandia,BR,2020-11-27 17:29:19,-14.45,-56.8,96.39,33,1,6.58
259,Makakilo City,US,2020-11-27 17:29:19,21.35,-158.09,75.2,77,1,3.36
260,Chiredzi,ZW,2020-11-27 17:29:19,-21.05,31.67,76.91,78,40,15.7
261,Khatanga,RU,2020-11-27 17:29:20,71.97,102.5,12.18,96,100,14.76
262,Sassandra,CI,2020-11-27 17:29:20,4.95,-6.08,80.92,78,51,8.99
263,Ancud,CL,2020-11-27 17:29:20,-41.87,-73.82,59.0,93,90,14.99
264,Rudnogorsk,RU,2020-11-27 17:29:20,57.26,103.75,-0.51,94,89,1.92
265,Dalhousie,IN,2020-11-27 17:27:06,32.53,75.98,44.69,50,0,9.26
266,Bilma,NE,2020-11-27 17:29:20,18.69,12.92,71.24,23,0,5.44
267,Hobart,AU,2020-11-27 17:29:11,-42.88,147.33,59.0,58,90,6.93
268,Saint George,US,2020-11-27 17:24:55,37.1,-113.58,43.0,38,1,5.82
269,Edgewater,US,2020-11-27 17:29:20,28.99,-80.9,80.01,65,20,4.7
270,Tupik,RU,2020-11-27 17:29:21,54.43,119.93,-6.07,87,7,3.0
271,Dvorichna,UA,2020-11-27 17:29:21,49.85,37.69,40.75,82,100,11.41
272,Vestmanna,FO,2020-11-27 17:29:21,62.16,-7.17,42.8,87,68,18.34
273,Plettenberg Bay,ZA,2020-11-27 17:29:21,-34.05,23.37,64.8,72,50,21.16
274,Neuquen,AR,2020-11-27 17:29:14,-38.95,-68.06,84.2,25,0,6.93
275,Jurado,CO,2020-11-27 17:29:21,7.11,-77.76,81.9,80,75,5.97
276,Praia Da Vitoria,PT,2020-11-27 17:29:22,38.73,-27.07,60.8,77,40,27.0
277,Taktaharkany,HU,2020-11-27 17:29:22,48.08,21.13,32.0,86,90,5.82
278,Salalah,OM,2020-11-27 17:28:16,17.02,54.09,80.6,65,0,4.7
279,Porto Torres,IT,2020-11-27 17:29:22,40.84,8.4,60.8,77,0,5.82
280,Mogadishu,SO,2020-11-27 17:29:22,2.04,45.34,81.48,79,64,16.35
281,Pontypridd,GB,2020-11-27 17:29:22,51.6,-3.34,39.0,83,42,7.92
282,Fallon,US,2020-11-27 17:28:22,39.47,-118.78,30.99,63,1,4.7
283,Los Llanos De Aridane,ES,2020-11-27 17:29:22,28.66,-17.92,69.8,52,20,5.82
